"LICR","REG","Reggio Calabria","38.08080007:015.64516812","LI","Italy"
"CYQR","YQR","Regina Intl","50.43928102:-104.67088884","CY","Canada"
"SBMG","MGF","Regional De Maringa Silvio Name Junior","-23.47808300:-052.02647500","SB","Brazil"
"LFSR","RHE","Reims Champagne","49.30570300:004.03434400","LF","France"
"TNCA","AUA","Reina Beatrix Intl","12.50438900:-070.02746900","TN","Netherlands Antilles, Aruba"
"DAAZ","QZN","Relizane","35.74994400:000.61966700","DA","Algeria"
"OLKA","KYE","Rene Mouawad","34.58297500:035.99689200","OL","Lebanon"
"WIPR","RGT","Rengat Japura","-00.35185600:102.32919700","WI","Indonesia"
"YREN","RMK","Renmark","-34.20039857:140.65954469","YR","Australia"
"LFRN","RNS","Rennes St Jacques","48.07368100:-001.74610000","LF","France"
"CYUT","YUT","Repulse Bay","66.52578300:-086.22851700","CY","Canada"
"SPQN","REQ","Requena","-05.06166199:-073.86869883","SP","Peru"
"SDRS","REZ","Resende","-22.48150000:-044.48581400","SD","Brazil"
"SARE","RES","Resistencia","-27.46167500:-059.06113100","SA","Argentina"
"CYRB","YRB","Resolute Bay","74.72554400:-094.97708600","CY","Canada"
"MGRT","RER","Retalhuleu","14.51650800:-091.70273100","MG","Guatemala"
"LERS","REU","Reus","41.14409700:001.15586100","LE","Spain"
"CYRV","YRV","Revelstoke","50.97151700:-118.19036400","CY","Canada"
"SLRY","REY","Reyes","-14.31604640:-067.39215600","SL","Bolivia"
"BIRK","REK","Reykjavik","64.12144290:-021.93665707","BI","Iceland"
"ETHE","ZPQ","Rheine Bentlage","52.29083300:007.38333300","ET","Germany"
"SCES","ESR","Ricardo Garcia Posada","-26.31134200:-069.77672200","SC","Chile"
"FARB","RCB","Richards Bay","-28.74588724:032.08838333","FA","South Africa"
"YRMD","RCM","Richmond","-20.70015600:143.10650300","YR","Australia"
"YSRI","RCM","Richmond (military)","-33.60161400:150.77124700","YS","Australia"
"KAMA","AMA","Rick Husband Amarillo Intl","35.20511900:-101.73270000","KA","United States of America"
"BIRF","OLI","Rif","64.91469533:-023.81163960","BI","Iceland"
"EVRA","RIX","Riga Intl","56.93506900:023.97307500","EV","Latvia"
"LDRI","RJK","Rijeka","45.22565600:014.56143300","LD","Croatia"
"LIPR","RMI","Rimini Mil","44.02853100:012.59696400","LI","Italy"
"CYXK","YXK","Rimouski","48.47388900:-068.50389200","CY","Canada"
"SAHS","RDS","Rincon De Los Sauces","-37.38913100:-068.91281700","SA","Argentina"
"SAOC","RCU","Rio Cuarto Area De Material","-33.09915800:-064.27752800","SA","Argentina"
"SAWG","RGL","Rio Gallegos","-51.61010000:-069.33816400","SA","Argentina"
"SAWE","RGA","Rio Grande","-53.77805600:-067.76452800","SA","Argentina"
"SBRG","RIG","Rio Grande","-32.08672200:-052.17128100","SB","Brazil"
"SAWM","ROY","Rio Mayo","-45.70375859:-070.26858525","SA","Argentina"
"RJER","RIS","Rishiri","45.23759700:141.17799200","RJ","Japan"
"LFMP","PGF","Rivesaltes","42.75416500:002.86173200","LF","France"
"CYRI","YRI","Riviere Du Loup","47.75750000:-069.59166700","CY","Canada"
"UKLR","RWN","Rivne Intl","50.61271100:026.12535600","UK","Ukraine"
"OERK","RUH","Riyadh King Khaled Intl","24.97093600:046.67488100","OE","Saudi Arabia"
"LFLO","RNE","Roanne Renaison","46.04941100:003.99822800","LF","France"
"MHRO","RTB","Roatan","16.31256700:-086.53248100","MH","Honduras"
"FARS","ROD","Robertson","-33.81233979:019.90168421","FA","South Africa"
"CYRJ","YRJ","Roberval","48.52555600:-072.27194400","CY","Canada"
"YROI","RBC","Robinvale","-34.63767875:142.77652663","YR","Australia"
"SLRB","RBO","Robore","-18.31381696:-059.76750115","SL","Bolivia"
"LFDN","RCO","Rochefort Saint Agnant","45.89617200:-000.99726100","LF","France"
"EGTO","RCS","Rochester","51.35582542:000.50043048","EG","United Kingdom"
"MYER","RSD","Rock Sound","24.89133100:-076.18860600","MY","Bahamas"
"CYRO","YRO","Rockcliffe","45.45916700:-075.65222200","CY","Canada"
"YBRK","ROK","Rockhampton","-23.36871700:150.47035000","YB","Australia"
"CYRM","YRM","Rocky Mountain House","52.43597200:-114.91104700","CY","Canada"
"LFCR","RDZ","Rodez Marcillac","44.41368300:002.47265600","LF","France"
"SPQU","AQP","Rodriguez Ballon","-16.33983900:-071.58471900","SP","Peru"
"VTUV","ROI","Roi Et","16.12625800:103.77422200","VT","Thailand"
"YROM","RMA","Roma","-26.53765600:148.77710600","YR","Australia"
"LIRF","FCO","Roma Fiumicino Leonardo Da Vinci","41.81551700:012.22636100","LI","Italy"
"RPVU","TBH","Romblon","12.30532500:122.08175300","RP","Philippines"
"SWRD","ROO","Rondonopolis","-16.59433100:-054.72495000","SW","Brazil"
"ESDF","RNB","Ronneby","56.25693100:015.26254700","ES","Sweden"
"ENRO","RRS","Roros","62.58470300:011.33312800","EN","Norway"
"ENRM","RVK","Rorvik Ryum","64.83412477:011.13700475","EN","Norway"
"SAAR","ROS","Rosario (islas Malvinas)","-32.91676746:-060.78765063","SA","Argentina"
"USTR","TJM","Roschino","57.16920300:065.28125199","US","Russia"
"EKRK","RKE","Roskilde","55.58998100:012.11563900","EK","Denmark"
"CYDM","YDM","Ross River","61.97220424:-132.43678423","CY","Canada"
"ENRS","RET","Rost","67.52379085:012.09741655","EN","Norway"
"URRR","ROV","Rostov Na Donu","47.24975800:039.80698600","UR","Russia"
"PGRO","ROP","Rota Intl","14.17456700:145.23406900","PG","Guam, Northern Marianas"
"NZRO","ROT","Rotorua","-38.10012175:176.32061740","NZ","New Zealand, Antarctica"
"EHRD","RTM","Rotterdam","51.95208600:004.42824200","EH","Netherlands"
"YRTI","RTS","Rottnest Island","-32.00626447:115.53283584","YR","Australia"
"LFOP","URO","Rouen Vallee De La Seine","49.37946900:001.16844700","LF","France"
"VERK","RRK","Rourkela","22.25654400:084.80571700","VE","India"
"CYUY","YUY","Rouyn Noranda","48.20104700:-078.84886300","CY","Canada"
"EFRO","RVN","Rovaniemi","66.55410000:025.80998600","EF","Finland"
"RPVR","RXS","Roxas","11.60465800:122.74664400","RP","Philippines"
"LFCY","RYN","Royan Medis","45.63180600:-000.98009700","LF","France"
"MGRB","RUV","Rubelsanto","15.99178100:-090.45201900","MG","Guatemala"
"SBUG","URG","Rubem Berta","-29.78280000:-057.04544200","SB","Brazil"
"MPSA","SYP","Ruben Cantu","08.09102500:-080.94574200","MP","Panama"
"PARY","RBY","Ruby","64.72375800:-155.47978600","PA","Alaska"
"VNRT","RUM","Rumjatar","27.30494383:086.55030428","VN","Nepal"
"FYRU","NDU","Rundu","-17.96115300:019.70441900","FY","Namibia"
"SLRQ","RBQ","Rurrenabaque","-14.47987699:-067.46009862","SL","Bolivia"
"NTAR","RUR","Rurutu","-22.43177800:-151.36755000","NT","French Polynesia"
"CYSH","YSH","Russ Beach","44.94218900:-075.94614400","CY","Canada"
"PARS","RSH","Russian Mission","61.77977200:-161.31805300","PA","Alaska"
"WRKG","RTG","Ruteng Satar Tacik","-08.59655600:120.47086700","WR","Indonesia"
"LKPR","PRG","Ruzyne","50.10183600:014.22630000","LK","Czech Republic"
"NZRC","SZS","Ryans Creek","-46.90269139:168.10770038","NZ","New Zealand, Antarctica"
"ENRY","RYG","Rygge","59.38373600:010.76625000","EN","Norway"
"EDDR","SCN","Saarbrucken","49.21416996:007.09642507","ED","Germany"
"LELL","QSA","Sabadell","41.52311023:002.09932189","LE","Spain"
"LTFJ","SAW","Sabiha Gokcen","40.89273600:029.29343100","LT","Turkey"
"OIMS","AFZ","Sabzevar National","36.16927200:057.57758100","OI","Iran"
"RKPS","HIN","Sacheon Ab","35.08216700:128.05728300","RK","South Korea"
"CYSY","YSY","Sachs Harbour","71.99333300:-125.26000000","CY","Canada"
"DNSO","SKO","Sadiq Abubakar Iii Intl","12.91277500:005.19344200","DN","Nigeria"
"RJSD","SDS","Sado","38.06070000:138.40807800","RJ","Japan"
"RJFS","HSG","Saga","33.15116700:130.29164200","RJ","Japan"
"VGSD","SPD","Saidpur","25.76695800:088.90568900","VG","Bangladesh"
"OPSS","SDT","Saidu Sharif","34.80868100:072.34529200","OP","Pakistan"
"LFKZ","XTC","Saint Claude Pratz","46.38339466:005.76829118","LF","France"
"LFGY","XTD","Saint Die Remomeix","48.26862474:007.01410069","LF","France"
"LFMH","EBU","Saint Etienne Boutheon","45.55119700:004.29514200","LF","France"
"TFFC","SFC","Saint François","16.25578715:-061.26714066","TF","Guadeloupe"
"CYSJ","YSJ","Saint John","45.30252868:-065.89484477","CY","Canada"
"TKPK","SKB","Saint Kitts Robert L Bradshaw","17.30550000:-062.72783300","TK","Saint Kitts and Nevis"
"GOSS","XLS","Saint Louis","16.05926900:-016.46432200","GO","Senegal"
"LFRZ","SNR","Saint Nazaire Montoir","47.30911100:-002.16442800","LF","France"
"LFQN","XSG","Saint Omer Wizernes","50.72458650:002.23179487","LF","France"
"ULLI","LED","Saint Petersburg Pulkovo","59.79994494:030.21828840","UL","Russia"
"LFMR","BAE","Saint Pons","44.38734000:006.60410000","LF","France"
"LFLN","SYT","Saint Yan","46.42203100:004.00711700","LF","France"
"FMMS","SMS","Sainte Marie","-17.09898200:049.81670800","FM","Comoros, Madagascar, Mayotte, Réunion"
"LFXB","XST","Saintes Thenac","45.70055080:-000.63739278","LF","France"
"GMFF","FEZ","Saiss","33.92739400:-004.99520600","GM","Morocco"
"VTUI","SNO","Sakon Nakhon Aero","17.18682200:104.10996900","VT","Thailand"
"GVAC","SID","Sal Amilcar Cabral Intl","16.72133300:-022.94883300","GV","Cape Verde"
"FKKL","MVR","Salak","10.45742800:014.24996900","FK","Cameroon"
"OOSA","SLL","Salalah","17.03374700:054.07646100","OO","Oman"
"LESA","SLM","Salamanca","40.94202500:-005.50903600","LE","Spain"
"FASD","SDB","Saldanha Vredenburg","-32.97055419:017.96979689","FA","South Africa"
"GMME","RBA","Sale","34.03799200:-006.76138600","GM","Morocco"
"USDD","SLY","Salekhard","66.58491900:066.58413900","US","Russia"
"VOSM","SXV","Salem","11.77656900:078.06094700","VO","India"
"SBPA","POA","Salgado Filho","-29.99414200:-051.18326900","SB","Brazil"
"CZAM","YSN","Salmon Arm","50.68818600:-119.23205800","CZ","Canada"
"SASA","SLA","Salta","-24.87283300:-065.48993600","SA","Argentina"
"SBSV","SSA","Salvador Bahia Deputado Luis Eduardo M","-12.90781400:-038.34371100","SB","Brazil"
"LFMK","CCF","Salvaza","43.21714000:002.29265700","LF","France"
"LOWS","SZG","Salzburg Maxglan","47.80472200:012.99716700","LO","Austria"
"VLSN","NEU","Sam Neua","20.41716400:104.06131100","VL","Laos"
"UTSS","SKD","Samarkand","39.70193500:066.96577300","UT","Tajikistan, Turkmenistan, Uzbekistan"
"FMNS","SVB","Sambava","-14.27388900:050.17166400","FM","Comoros, Madagascar, Mayotte, Réunion"
"LSZS","SMV","Samedan","46.52682800:009.87829200","LS","Switzerland"
"LGSM","SMI","Samos","37.68965500:026.89956700","LG","Greece"
"VTSM","USM","Samui","09.55720600:100.06155000","VT","Thailand"
"MYAN","SAQ","San Andros","25.05636900:-078.05604400","MY","Bahamas"
"SVSA","SVZ","San Antonio Del Tachira","07.84901400:-072.44186700","SV","Venezuela"
"SAZS","BRC","San Carlos De Bariloche","-41.14676900:-071.17026100","SA","Argentina"
"RPUS","SFE","San Fernando","16.59018300:120.30271100","RP","Philippines"
"SADF","FDO","San Fernando","-34.45986123:-058.59704434","SA","Argentina"
"SVSR","SFD","San Fernando De Apure","07.88598600:-067.45248600","SV","Venezuela"
"SLSM","SNM","San Ignacio De Moxos","-14.96056203:-065.63888092","SL","Bolivia"
"MDSI","ZXD","San Isidro Ab","18.49509700:-069.76614700","MD","Dominican Republic"
"SLJV","SJV","San Javier","-16.32026234:-062.60542117","SL","Bolivia"
"SLJO","SJB","San Joaquin","-13.03128748:-064.66917971","SL","Bolivia"
"SLJE","SJS","San Jose De Chiquitos","-17.81153362:-060.80147296","SL","Bolivia"
"MROC","SJO","San Jose Juan Santamaria Intl","09.98900000:-084.22185800","MR","Costa Rica"
"SANU","UAQ","San Juan","-31.56036100:-068.41827800","SA","Argentina"
"TJSJ","SJU","San Juan - Luis Munoz Marin Intl","18.43875600:-066.01486400","TJ","Puerto Rico"
"SPJN","SJA","San Juan De Marcona","-15.34163301:-075.15409266","SP","Peru"
"SAWJ","ULA","San Julian","-49.30850800:-067.81611100","SA","Argentina"
"SKIP","IPI","San Luis","00.85808100:-077.67871100","SK","Colombia"
"SAOU","LUQ","San Luis","-33.25997800:-066.35458100","SA","Argentina"
"KALS","ALS","San Luis Valley Rgnl Bergman Fld","37.42518300:-105.87560800","KA","United States of America"
"SPLN","RIM","San Nicolas","-06.38970600:-077.50891700","SP","Peru"
"MUNB","QSN","San Nicolas De Bari","22.75375000:-081.92507800","MU","Cuba"
"DISP","SPY","San Pedro","04.73863600:-006.66370300","DI","Côte d\'Ivoire"
"SAMR","SRA","San Rafael","-34.58454400:-068.41546400","SA","Argentina"
"SLRA","SRD","San Ramon","-13.27694078:-064.70292700","SL","Bolivia"
"MYSM","ZSA","San Salvador","24.06425800:-074.53590800","MY","Bahamas"
"LESO","EAS","San Sebastian","43.35035300:-001.79740300","LE","Spain"
"SVST","SOM","San Tome","08.94192500:-064.15922500","SV","Venezuela"
"MRSV","TOO","San Vito De Java","08.82544700:-082.96331000","MR","Costa Rica"
"OYSN","SAH","Sanaa Intl","15.49097500:044.21964200","OY","Yemen"
"WAPN","SQN","Sanana/emalamo (local Gov)","-02.09568151:125.96612183","WA","Indonesia"
"OICS","SDG","Sanandaj","35.23455300:047.00471700","OI","Iran"
"PASD","SDP","Sand Point","55.31972200:-160.52763900","PA","Alaska"
"WBKS","SDK","Sandakan","05.89932200:118.04996100","WB","Malaysia, Brunei"
"ENSD","SDN","Sandane","61.82989359:006.10152592","EN","Norway"
"EGES","NDY","Sanday","59.25230119:-002.57431065","EG","United Kingdom"
"CYZP","YZP","Sandspit","53.25999300:-131.82054900","CY","Canada"
"RPMN","SGS","Sanga Sanga","05.04035600:119.74083600","RP","Philippines"
"GMTN","TTU","Saniat Rmel","35.58829400:-005.33035600","GM","Morocco"
"ZYQQ","NDG","Sanjiazi","47.25040800:123.91156100","ZY","People\'s Republic of China"
"LTCH","SFQ","Sanliurfa","37.10277500:038.84112200","LT","Turkey"
"SKGO","CRC","Santa Ana","04.74812200:-075.95661900","SK","Colombia"
"SLSA","SBL","Santa Ana Del Yacuma","-13.75702500:-065.43982500","SL","Bolivia"
"SUDU","DZO","Santa Bernardina Intl","-33.36939400:-056.50461900","SU","Uruguay"
"AGGL","SCZ","Santa Cruz","-10.72234073:165.79339715","AG","Solomon Islands"
"SAWU","RZA","Santa Cruz","-50.01899200:-068.59284400","SA","Argentina"
"SBSC","STU","Santa Cruz","-22.94379200:-043.72458600","SB","Brazil"
"SVSE","SNV","Santa Elena De Uairen","04.55628600:-061.15223600","SV","Venezuela"
"LPAZ","SMA","Santa Maria","36.98500000:-025.17333300","LP","Portugal"
"SBAR","AJU","Santa Maria","-10.98366700:-037.08041700","SB","Brazil"
"SBSM","RIA","Santa Maria","-29.71053900:-053.70384700","SB","Brazil"
"SAZR","RSA","Santa Rosa","-36.59848300:-064.27818300","SA","Argentina"
"SSZR","SRA","Santa Rosa","-27.90931400:-054.52574700","SS","Brazil"
"SAZL","SST","Santa Teresita","-36.53566100:-056.72320000","SA","Argentina"
"SSLI","LVB","Santana Do Livramento","-30.83098227:-055.62860478","SS","Brazil"
"LEXJ","SDR","Santander","43.43078300:-003.83392200","LE","Spain"
"SBSN","STM","Santarem","-02.42417500:-054.80344200","SB","Brazil"
"LEST","SCQ","Santiago","42.91177200:-008.42043100","LE","Spain"
"MDST","STI","Santiago Cibao Intl","19.40876400:-070.61688600","MD","Dominican Republic"
"MUCU","SCU","Santiago De Cuba Antonio Maceo Intl","19.96955600:-075.85466700","MU","Cuba"
"SANE","SDE","Santiago Del Estero","-27.77530300:-064.31583300","SA","Argentina"
"SKUC","AUC","Santiago Perez","07.07013300:-070.74636400","SK","Colombia"
"SKGI","GIR","Santiago Vila","04.26916400:-074.79823600","SK","Colombia"
"SBNM","GEL","Santo Angelo","-28.28104400:-054.17780000","SB","Brazil"
"SBGO","GYN","Santo Genoveva","-16.62633900:-049.23080800","SB","Brazil"
"NVSS","SON","Santo Pekoa Intl","-15.49941900:167.21250800","NV","Vanuatu"
"LGSR","JTR","Santorini","36.40810800:025.47508900","LG","Greece"
"SBRJ","SDU","Santos-dumont","-22.91655300:-043.16254700","SB","Brazil"
"SDSC","QSC","Sao Carlos","-21.88204200:-047.90391400","SD","Brazil"
"SBUA","SJL","Sao Gabriel Da Cachoeira","-00.15708600:-066.99351700","SB","Brazil"
"LPSJ","SJZ","Sao Jorge","38.66825800:-028.18288300","LP","Portugal"
"SBSR","SJP","Sao Jose Do Rio Preto","-20.82115600:-049.41266700","SB","Brazil"
"SBSJ","SJK","Sao Jose Dos Campos","-23.21968300:-045.87193300","SB","Brazil"
"SBSP","CGH","Sao Paulo Congonhas","-23.61984200:-046.66145300","SB","Brazil"
"SBKP","VCP","Sao Paulo Viracopos","-22.99842800:-047.14701900","SB","Brazil"
"GVSV","VXE","Sao Pedro","16.82841900:-025.06213900","GV","Cape Verde"
"FPST","TMS","Sao Tome Intl","00.38052800:006.70242200","FP","São Tomé and Príncipe"
"RJCO","OKD","Sapporo","43.12055600:141.37416100","RJ","Japan"
"LQSA","SJJ","Sarajevo","43.82997200:018.31713900","LQ","Bosnia and Herzegovina"
"OIMC","CKT","Sarakhs","36.51592800:061.05221100","OI","Iran"
"OINZ","SRY","Sari Dasht E Naz","36.65585600:053.18382200","OI","Iran"
"LFDS","XSL","Sarlat Domme","44.79060095:001.24304188","LF","France"
"CYXE","YXE","Saskatoon J G Diefenbaker Intl","52.17852194:-106.71808950","CY","Canada"
"SPIP","SFK","Satipo","-11.28632572:-074.63732373","SP","Peru"
"VIST","TNI","Satna","24.56380800:080.84996400","VI","India"
"LRSM","SUJ","Satu Mare","47.69244200:022.88193600","LR","Romania"
"SAAV","SFN","Sauce Viejo","-31.72130600:-060.81636100","SA","Argentina"
"BIKR","SAK","Saudarkrokur","65.72263461:-019.57180920","BI","Iceland"
"SOOS","XAU","Saul","-03.62185607:-053.20149171","SO","French Guiana"
"CYAM","YAM","Sault Ste Marie","46.47819113:-084.51333230","CY","Canada"
"WAPI","SXK","Saumlaki/olilit (local Gov)","-07.98631923:131.30353939","WA","Indonesia"
"LFOD","XSU","Saumur Faint Florent","47.25739200:-000.12458600","LF","France"
"FNSA","VHC","Saurimo","-09.67918900:020.41998600","FN","Angola"
"VLSK","ZVK","Savannakhet","16.55088900:104.75468100","VL","Laos"
"EFSA","SVL","Savonlinna","61.94908100:028.92733900","EF","Finland"
"PASA","SVA","Savoonga","63.68280300:-170.50838300","PA","Alaska"
"OYSY","GXF","Sayun Intl","15.96108900:048.77531400","OY","Yemen"
"PACM","SCM","Scammon Bay","61.84617200:-165.58171700","PA","Alaska"
"EGXP","SQZ","Scampton","53.29867500:-000.56435300","EG","United Kingdom"
"EGPM","SCS","Scatsta","60.42917600:-001.30625800","EG","United Kingdom"
"CYKL","YKL","Schefferville","54.81058900:-066.81082500","CY","Canada"
"EHAM","AMS","Schiphol","52.30037477:004.78348374","EH","Netherlands"
"LLSD","SDV","Sde Dov","32.10773600:034.77796100","LL","Israel"
"HLLS","SEB","Sebha","27.00447500:014.45137800","HL","Libya"
"FASC","ZEC","Secunda","-26.52403277:029.16461884","FA","South Africa"
"LFSJ","XSW","Sedan Douzy","49.66212772:005.04637797","LF","France"
"OOMS","MCT","Seeb Intl","23.59165800:058.26689400","OO","Oman"
"EFSI","SJY","Seinajoki","62.69711400:022.82189400","EF","Finland"
"PASK","WLK","Selawik","66.59730000:-159.99221400","PA","Alaska"
"PASO","SOV","Seldovia","59.44496472:-151.70378994","PA","Alaska"
"FBSP","PKW","Selebi Phikwe","-22.05671700:027.82032200","FB","Botswana"
"WSSL","XSP","Seletar","01.41041100:103.86336900","WS","Singapore"
"GQNS","SEY","Selibady","15.17568100:-012.21346400","GQ","Mauritania"
"WIIS","SRG","Semarang Achmad Yani Aero","-06.96487800:110.36633600","WI","Indonesia"
"UASS","DLX","Semipalatinsk","50.34977500:080.21273900","UA","Kazakhstan, Kyrgyzstan"
"SBPL","PNZ","Senador Nilo Coelho","-09.35762500:-040.58305800","SB","Brazil"
"SBTE","THE","Senador Petronio Portella","-05.06981700:-042.82245600","SB","Brazil"
"RJSS","SDJ","Sendai","38.13877200:140.89872200","RJ","Japan"
"WAJS","SEH","Senggeh (dgac)","-03.44867724:140.78038468","WA","Indonesia"
"RKSM","SNN","Seoul Ab","37.43250000:127.11066700","RK","South Korea"
"RKSS","GMP","Seoul Gimpo","37.57029700:126.77842200","RK","South Korea"
"CYZV","YZV","Sept Iles","50.21722500:-066.27916700","CY","Canada"
"LEZL","SVQ","Sevilla","37.41787500:-005.91208300","LE","Spain"
"PAWD","SWD","Seward","60.13741700:-149.42711100","PA","Alaska"
"FSIA","SEZ","Seychelles Intl","-04.66663100:055.51080200","FS","Seychelles"
"VGEG","CGP","Shah Amanat Intl","22.24081400:091.80265300","VG","Bangladesh"
"VGRJ","RJH","Shah Mokhdum","24.44533300:088.61496100","VG","Bangladesh"
"OPJA","JAG","Shahbaz Ab","28.29602500:068.44278300","OP","Pakistan"
"OICC","KSH","Shahid Ashrafi Esfahani","34.35260600:047.14143300","OI","Iran"
"OIFS","CQD","Shahre Kord","32.30922800:050.83214400","OI","Iran"
"RCBS","KNH","Shang Yi","24.42186100:118.34566700","RC","Republic of China (Taiwan)"
"EINN","SNN","Shannon","52.69317200:-008.94351900","EI","Ireland"
"OMSJ","SHJ","Sharjah Intl","25.33834200:055.50025000","OM","United Arab Emirates"
"YSHK","DNM","Shark Bay","-25.88806900:113.57696900","YS","Australia"
"HESH","SSH","Sharm El Sheikh Intl","27.96850000:034.38262800","HE","Egypt"
"OESH","ESH","Sharurah","17.46532500:047.10424400","OE","Saudi Arabia"
"CYAW","YAW","Shearwater","44.64940300:-063.50570800","CY","Canada"
"PASP","SMU","Sheep Mountain","61.81072315:-147.51294297","PA","Alaska"
"EGSY","SZE","Sheffield City","53.39470800:-001.39755600","EG","United Kingdom"
"OPRK","RYK","Sheikh Zayed","28.37079200:070.27571100","OP","Pakistan"
"YSHT","SHT","Shepparton","-36.42089323:145.39325221","YS","Australia"
"CYSC","YSC","Sherbrooke","45.44245600:-071.70160800","CY","Canada"
"VISM","SLV","Shimla","31.08640000:077.06436900","VI","India"
"RORS","SHI","Shimojishima","24.84004400:125.14135300","RO","Japan"
"OISS","SYZ","Shiraz Shahid Dastghaib Intl","29.54925600:052.57009200","OI","Iran"
"PASH","SHH","Shishmaref","66.24651700:-166.10451400","PA","Alaska"
"VASL","SSE","Sholapur","17.63301400:075.93116700","VA","India"
"RJSY","SYO","Shonai","38.81071700:139.77586700","RJ","Japan"
"EGKA","ESH","Shoreham","50.83199200:-000.29953100","EG","United Kingdom"
"URMT","STW","Shpakovskoye","45.10641400:042.09657200","UR","Russia"
"ZUUU","CTU","Shuangliu","30.56347800:103.94007800","ZU","People\'s Republic of China"
"PAGH","SHG","Shungnak","66.89052200:-157.17484400","PA","Alaska"
"UAII","CIT","Shymkent","42.36776100:069.46280000","UA","Kazakhstan, Kyrgyzstan"
"EYSA","SQQ","Siauliai Intl","55.90690300:023.37939700","EY","Lithuania"
"LRSB","SBZ","Sibiu","45.78576400:024.07857200","LR","Romania"
"WBGS","SBW","Sibu","02.26965000:111.97587500","WB","Malaysia, Brunei"
"DAUK","TGR","Sidi Mahdi","33.06000000:006.08722200","DA","Algeria"
"EDGS","SGE","Siegerland","50.71276279:008.07267627","ED","Germany"
"VDSR","REP","Siem Reap","13.40295300:103.80408100","VD","Cambodia"
"SAVS","SGV","Sierra Grande","-41.59921629:-065.35453386","SA","Argentina"
"MUMZ","MZO","Sierra Maestra","20.28521700:-077.10035300","MU","Cuba"
"BISI","SIJ","Siglufjordur","66.12978100:-018.92484700","BI","Iceland"
"LICZ","NSY","Sigonella","37.40321900:014.90854700","LI","Italy"
"MUSN","SZJ","Siguanea","21.63697500:-082.96224200","MU","Cuba"
"VDSV","KOS","Sihanukville","10.57398300:103.63408300","VD","Cambodia"
"LTCL","SXZ","Siirt","37.97588300:041.83088600","LT","Turkey"
"VEKU","IXS","Silchar","24.90844200:092.97115600","VE","India"
"SGAS","ASU","Silvio Pettirossi Intl","-25.25462800:-057.52272800","SG","Paraguay"
"UKFF","SIP","Simferopol","45.03621490:033.96795444","UK","Ukraine"
"VNST","IMK","Simikot","29.97167361:081.80914308","VN","Nepal"
"SKSM","SMR","Simon Bolivar","11.11195300:-074.23046400","SK","Colombia"
"EKSN","KSN","Sindal","57.50317500:010.21939200","EK","Denmark"
"LPSI","SIE","Sines Airstrip","37.93702423:-008.80459747","LP","Portugal"
"WSSS","SIN","Singapore Changi Intl","01.32882277:103.98506343","WS","Singapore"
"WSAP","QPG","Singapore Paya Lebar Aero","01.34463900:103.90286100","WS","Singapore"
"WIKS","SIQ","Singkep Dabo","-00.47495000:104.57611700","WI","Indonesia"
"SWSI","OPS","Sinop","-11.89201100:-055.58842800","SW","Brazil"
"LSGS","SIR","Sion","46.21666625:007.31449201","LS","Switzerland"
"CYXL","YXL","Sioux Lookout","50.12057200:-091.91073300","CY","Canada"
"WIBR","RKO","Sipora/rokot (dgac)","-02.09677587:099.70392662","WI","Indonesia"
"FIMP","MRU","Sir Seewoosagur Ramgoolam Intl","-20.42331800:057.66925000","FI","Mauritius"
"FBSK","GBE","Sir Seretse Khama Intl","-24.56166900:025.90517200","FB","Botswana"
"OIKY","SYJ","Sirjan","29.56220000:055.65821900","OI","Iran"
"OIBS","SXI","Sirri Island","25.91615800:054.52938100","OI","Iran"
"FASS","SIS","Sishen","-27.64150800:022.99554005","FA","South Africa"
"BGSS","JHS","Sisimiut","66.95206561:-053.73824879","BG","Greenland"
"LGST","JSH","Sitia","35.21019200:026.09245300","LG","Greece"
"PASI","SIT","Sitka Rocky Gutierrez","57.05347500:-135.37303100","PA","Alaska"
"VYSW","AKY","Sittwe","20.13471900:092.86407500","VY","Myanmar"
"LTAR","VAS","Sivas","39.79750000:036.89666700","LT","Turkey"
"PAGY","SGY","Skagway","59.45656700:-135.32228900","PA","Alaska"
"OPSD","KDU","Skardu","35.35326400:075.53047500","OP","Pakistan"
"ESNS","SFT","Skelleftea","64.62741100:021.05577500","ES","Sweden"
"LGSK","JSI","Skiathos Alexandros Papadiamantis","39.16992800:023.50049700","LG","Greece"
"LGSY","SKU","Skiros","38.98103300:024.48595600","LG","Greece"
"EKSV","SQW","Skive","56.55429700:009.16664700","EK","Denmark"
"LWSK","SKP","Skopje","41.97227800:021.61765600","LW","Macedonia"
"ESGR","KVB","Skovde","58.44887800:013.96860600","ES","Sweden"
"EKSP","SKS","Skrydstrup","55.22460000:009.24394200","EK","Denmark"
"FASZ","SZK","Skukuza","-24.95450963:031.58560963","FA","South Africa"
"PASW","SKW","Skwentna","61.96726570:-151.20035786","PA","Alaska"
"CYZH","YZH","Slave Lake","55.29647800:-114.79040600","CY","Canada"
"PASL","SLQ","Sleetmute","61.71333137:-157.15862141","PA","Alaska"
"LZSL","SLD","Sliac","48.64832500:019.13464400","LZ","Slovakia"
"EISG","SXL","Sligo","54.28113300:-008.60781700","EI","Ireland"
"GMMA","SMW","Smara","26.74364700:-011.69186700","GM","Morocco"
"CYYD","YYD","Smithers","54.83156700:-127.18444400","CY","Canada"
"YSMI","SIO","Smithton","-40.83859262:145.07484647","YS","Australia"
